from_address,to_address,value_eth,timestamp,block_number,root_address,label
0xe1be482699ea4ed3b3c8da168c28daba475b0265,0xe1be482699ea4ed3b3c8da168c28daba475b0265,0.0,1750041587,22714161,0xe1be482699ea4ed3b3c8da168c28daba475b0265,legitimate
0xe1be482699ea4ed3b3c8da168c28daba475b0265,0xe1be482699ea4ed3b3c8da168c28daba475b0265,0.0,1750044587,22714410,0xe1be482699ea4ed3b3c8da168c28daba475b0265,legitimate
0xe1be482699ea4ed3b3c8da168c28daba475b0265,0xe1be482699ea4ed3b3c8da168c28daba475b0265,0.0,1750044599,22714411,0xe1be482699ea4ed3b3c8da168c28daba475b0265,legitimate
0xe1be482699ea4ed3b3c8da168c28daba475b0265,0x3e07694a69ec4be0a89b609abf0a11182ace67fc,0.001969642843184,1750049963,22714856,0xe1be482699ea4ed3b3c8da168c28daba475b0265,legitimate
0xe1be482699ea4ed3b3c8da168c28daba475b0265,0xfe5fc40c15c67983694642f9a8711241157fdb0a,0.00015,1753197767,22975584,0xe1be482699ea4ed3b3c8da168c28daba475b0265,legitimate
0xe1be482699ea4ed3b3c8da168c28daba475b0265,0x565e79f526245cae4a8c130ad95c7a2778f3ab4b,4.0064573446262e-05,1753233599,22978548,0xe1be482699ea4ed3b3c8da168c28daba475b0265,legitimate
0xaaee8e93da01cdf21717a186a9e7982f86333f11,0xe1be482699ea4ed3b3c8da168c28daba475b0265,0.007436025191256,1754041883,23045450,0xe1be482699ea4ed3b3c8da168c28daba475b0265,legitimate
0xe1be482699ea4ed3b3c8da168c28daba475b0265,0xe1be482699ea4ed3b3c8da168c28daba475b0265,0.0,1754042963,23045540,0xe1be482699ea4ed3b3c8da168c28daba475b0265,legitimate
0xe1be482699ea4ed3b3c8da168c28daba475b0265,0xe1be482699ea4ed3b3c8da168c28daba475b0265,0.0,1754042975,23045541,0xe1be482699ea4ed3b3c8da168c28daba475b0265,legitimate
0xe1be482699ea4ed3b3c8da168c28daba475b0265,0xe1be482699ea4ed3b3c8da168c28daba475b0265,0.0,1754042975,23045541,0xe1be482699ea4ed3b3c8da168c28daba475b0265,legitimate
0xe1be482699ea4ed3b3c8da168c28daba475b0265,0xe1be482699ea4ed3b3c8da168c28daba475b0265,0.0,1754043047,23045547,0xe1be482699ea4ed3b3c8da168c28daba475b0265,legitimate
0xe1be482699ea4ed3b3c8da168c28daba475b0265,0xf39a6e8ab6cc60ce9d3ce0806cdbeb497440a966,0.007385994759336,1754050211,23046141,0xe1be482699ea4ed3b3c8da168c28daba475b0265,legitimate
