from_address,to_address,value_eth,timestamp,block_number,root_address,label
0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,0x61329bf89554c287d3f1c36e3750b3075c5beffd,0.003860302009866,1681066535,17012636,0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,legitimate
0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,0x03bb20ab77ec8f6a85a25252a88139c1d86043e2,0.00091654,1687452803,17536467,0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,legitimate
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,0.0028,1707190811,19166581,0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,legitimate
0x6a04ddf3de778de8d9fc64fcf6fb826b03570738,0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,0.00406559,1707293447,19175039,0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,legitimate
0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,0x7ad4c1647aa947d1c05425a8d4d155ef811a5f9e,0.0,1707293579,19175050,0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,legitimate
0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,0x24fcfc492c1393274b6bcd568ac9e225bec93584,0.0,1707293951,19175081,0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,legitimate
0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,0x03bb20ab77ec8f6a85a25252a88139c1d86043e2,0.001290751267,1708232471,19252485,0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,legitimate
0x89f6769e6c9d05b68fadd6bb4d3dfcf36f07ed29,0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,0.0014,1714963259,19808126,0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,legitimate
0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,0xd58fd4308068a0fc2bc6a8963b0506d3f1cfff4c,0.001,1715223323,19829643,0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,legitimate
0xd58fd4308068a0fc2bc6a8963b0506d3f1cfff4c,0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,0.000651087269,1715225027,19829782,0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,legitimate
0x89f6769e6c9d05b68fadd6bb4d3dfcf36f07ed29,0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,0.0021679861942871,1725173747,20654066,0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,legitimate
0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,0xa5f565650890fba1824ee0f21ebbbf660a179934,0.0010252225979396,1725173795,20654070,0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,legitimate
0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,0xa5f565650890fba1824ee0f21ebbbf660a179934,0.0001113308969636,1726577351,20770434,0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,legitimate
0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,0xa5f565650890fba1824ee0f21ebbbf660a179934,0.0001115661057638,1727858459,20876681,0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,legitimate
0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,0xa5f565650890fba1824ee0f21ebbbf660a179934,0.000114585347776,1731333251,21164868,0x0c7e670c206eee73b98cda486af1d7b5f0eb8cdd,legitimate
